Extension	File type description
pct	NIST ihdr image
pct	Apple Macintosh QuickDraw/PICT bitmap graphics format
pct	PC Paint bitmap file
pcx	Paintbrush bitmap image
pcx_	Paintbrush bitmap graphics file
pdb	MonkeyCard image format
pdd	Corel PaintShop Photo Pro bitmap graphics file
pdf	ED-Scan graphics file
pef	Pentax Digital Camera Raw Image Format
pet	Macintosh PICT image file
pfi	Panorama Factory bitmap image format
pfm	Portable bitmap file
pfn	Portable Bitmap File
pgm	Portable graymap file format
pgx	Portable graphics format file
pi1	Atari Degas bitmap image
pi2	Portrait Innovations high resolution image file
pi3	Atari Degas image
pi4	Atari Degas image file
pi5	Atari Degas image file
pi6	Atari Degas image file
pi?	2d Graphic
pic	Picture file
picio	PIXAR picture file
picnc	Houdini 3D compositing image file
pict	Bitmap graphics file format
pict1	Apple QuickDraw picture file
pict2	Apple Macintosh QuickDraw/PICT bitmap graphics format
pictclipping	Picture Clipping file
pictor	PCPaint image file
pip	Compressed bitmap picture file
pix	Bitmap image file
pixar	PIXAR picture file
pixelpaiNT	PixelPaint Professional image file
pi[1-6]	Degas Elite image format
pj	HP PaintJet PCL bitmap image file
pjp	JPEG image file
pjpeg	JPEG image
plasma	Plasma fractal image file
plt	BioWare Infinity game engine bitmap graphic file
pm	Presentation Manager bitmap graphics file
pm	X Window PixelMap bitmap graphics
pmb	Polar Uplink Tool bitmap file
pnf	Portable Network Graphics bitmap graphics
png	Portable Network Graphic file
png	Adobe Fireworks proprietary PNG file
png24	Portable Network Graphics
png32	Portable Network Graphics
png8	Portable Network Graphics
pngf	PNG Imagereionente Fippng Mac file type
pnm	Portable anymap bitmap graphic file
pnt	Apple MacPaint format graphic file
pntg	Apple Macintosh MacPaint bitmap graphics
pop	Samsung Popcon animation file
pp4	Micrografix Picture Publisher bitmap graphics file
pp5	Micrografx Picture Publisher 5 bitmap file
ppm	Portable pixelmap graphic
pps	Corel PaintShop Photo Pro image file
pr	Sun icon file
pre	CMYK bitmap image (Stork format)
prf	Fastgraph bitmap graphics
prn	Calcomp Raster graphics file
prv	E-on Vue preview picture file
psd	Adobe Photoshop graphics file
psdx	Adobe Photoshop Touch graphics file
pse	IBM Printer Page Segment bitmap graphics
pseg	IBM printer page segment bitmap file
psp	Corel PaintShop Photo Pro image file
pspimage	Corel Paint Shop Pro image file
ptif	Pyramid encoded TIFF bitmap graphics
ptx	Pentax RAW bitmap graphic file
puzz	X11 Puzzle bitmap graphics
puzzle	X11 puzzle bitmap file
pvm	HP Photosmart Essential Photo Album file
pwp	Seattle FilmWorks / PhotoWorks image file
pwrk	Apple IIGS image file
pxm	Pixel Magician graphic bitmap file
pzi	Pizazz Plus graphics file
pzl	Unix Puzzle bitmap graphics
q0	Japanese Q0 bitmap image
qad	Corel WordPerfect Office thumbnail file
qdv	Random Dot QDV bitmap image
qfxx	Quick Link II fax file
qmg	Samsung theme picture image file - qmage file format
qrt	Qrt Ray-Tracer ray-traced bitmap image
qtk	Apple QuickTake digital camera bitmap image
qtl	YUV SECAM or PAL image
qts	Macintosh PICT image file
raf	Fuji CCD-RAW graphic file
ras	Sun raster bitmap file
rast	Sun Raster bitmap image
raw	RAW image format
raw	ISIS RAW file format file
rdb	Wavelet image recording
rdi	Device independent bitmap file
rf	Sun bitmap image
rg	Bitmap image
